parameter,Estimate,Naive SE,Robust SE,95%L,95%H,t value,pvalue,feature,qvalue,neg_log10_pvalue,neg_log10_qvalue
disease,0.09397182251826905,0.03724718039794329,0.039859052377860006,0.015432621195187011,0.17251102384135109,2.357603026470001,0.0192394802410719,Bin 6,0.04197704779870232,1.715806664703789,1.376988108150408
disease,0.5461896832451462,0.24542637575192836,0.23303236429853724,0.08701730752146543,1.005362058968827,2.343836165801519,0.0199466012507099,Bin 152,0.04296191038614439,1.7001310941531458,1.3669164151177633
disease,1.3181726057276644,0.8599941287416112,0.5706304801273493,0.1937890720964762,2.442556139358853,2.310028383751047,0.0217808068253044,Bin 85,0.046318677805710626,1.6619260367341666,1.3342438462987452
disease,-0.04828575517787069,0.02076810101926116,0.021018856708033634,-0.08970179796092034,-0.0068697123948210405,-2.2972588779966965,0.0225111195095074,Bin 25,0.047273350969965544,1.6476029063894544,1.325383611655535
disease,-0.42939620752093083,0.16936344678088144,0.18785730274861603,-0.7995545941457979,-0.05923782089606383,-2.285757334094877,0.0231871642854657,Bin 39,0.04809189629578071,1.634752360912586,1.317928098065373
disease,-0.578184099765301,0.19583070379033848,0.25775595230900167,-1.086072406760378,-0.07029579277022426,-2.2431454815528973,0.0258488589619316,Bin 56,0.05295863787322572,1.587558623071933,1.2760631937297866
disease,0.2724021045328577,0.13821683367059248,0.1227949857094296,0.03044401650127109,0.5143601925644443,2.218348762036946,0.0275171076665229,Bin 121,0.0556972781683837,1.5603972168930116,1.2541660275432225
disease,-0.33068623655204,0.1220586312703809,0.1536881283457824,-0.6335168893906846,-0.02785558371339539,-2.151670660000688,0.0324742216753757,Bin 123,0.06421523662755403,1.488461249066026,1.1923619127697207
disease,-0.4730341114645916,0.17882979290510576,0.2198650524069439,-0.9062613104255633,-0.0398069125036199,-2.151474762751572,0.0324898518651315,Bin 14,0.06421523662755403,1.488252268781291,1.1923619127697207
disease,0.1927447540864429,0.09596273566542456,0.09150305713932849,0.01244500791548185,0.3730445002574039,2.10642966598326,0.0362604668851636,Bin 105,0.07083440042683123,1.440566608283951,1.1497557778016558
disease,0.05806298772419592,0.03026606863696933,0.027982380527748305,0.002925856090111952,0.11320011935827988,2.074983851592563,0.0391100630849815,Bin 122,0.07552288043996427,1.4077114835253108,1.1219214544180667
disease,-0.16584596268079457,0.08504194279016208,0.08189977262987476,-0.32722317430926945,-0.0044687510523197015,-2.024986851066038,0.044034351361207,Bin 77,0.08323291320104673,1.3562083965575835,1.0797049045380493
disease,-0.70210406898746,0.22552004655555097,0.3468183104113343,-1.3854829121597816,-0.018725225815138444,-2.0244146514489065,0.0440936266362688,Bin 5,0.08323291320104673,1.3556241796189994,1.0797049045380493
disease,-0.5855411970707352,0.22213226069599623,0.2928338844650548,-1.1625478752073184,-0.008534518934151646,-1.9995677690797091,0.0467337509638139,Bin 48,0.08723633513245262,1.3303693600518736,1.0593025877653355
disease,0.1831845919873398,0.10316532130439744,0.09312105887895443,-0.00030330234040389434,0.36667248631508353,1.9671661189490608,0.0503767128795467,Bin 44,0.09300316223916315,1.297770173972652,1.0315022845678827
disease,0.15019247280653744,0.09601165779120442,0.07763300132069476,-0.002777393667957378,0.30316233928103226,1.9346472537639785,0.0542708303750108,Bin 7,0.09910325546741101,1.2654335334135922,1.0039120790332845
disease,-0.17834729358366302,0.08312583078663838,0.09309635054049302,-0.36178650202820045,0.005091914860874479,-1.915728087601988,0.0566505727421601,Bin 115,0.1021727505511254,1.2467956950238444,0.9906649149962321
disease,0.16493575326799223,0.08085757429017475,0.08627690555987666,-0.005066262611931991,0.3349377691479165,1.9117022359306328,0.0571680866178916,Bin 51,0.1021727505511254,1.2428463431223962,0.9906649149962321
disease,0.0937988932433769,0.04908626136744221,0.049844442607307575,-0.004415752595684978,0.1920135390824388,1.881832524086151,0.061132690370835,Bin 9,0.10810833665579242,1.2137264910497854,0.9661408146127702
disease,-0.19056699936013471,0.09597738993305872,0.1018090165543488,-0.391173847005826,0.0100398482855566,-1.8718086649860148,0.0625134913446916,Bin 156,0.10924776565865132,1.2040262453078556,0.9615874364814884
disease,0.2571324092644481,0.16936459400091877,0.13766837784916774,-0.0141325556227683,0.5283973741516643,1.8677666816570435,0.0630775789814832,Bin 94,0.10924776565865132,1.2001249839411066,0.9615874364814884
