parameter,Estimate,Naive SE,Robust SE,95%L,95%H,t value,pvalue,feature,fold_change,qvalue,neg_log10_pvalue,neg_log10_qvalue
adenoma,-1.2198808639655514,1.232321924751196,0.6366851431763262,-2.4725585768073994,0.0327968488762968,-1.915987638536294,0.0562687435556255,Bin 1285,-0.9999999999999997,0.6540225355819586,1.2497327822505002,0.1844072869811257
adenoma,-0.9632511931361633,0.9747400955529836,0.5036042326538622,-1.954092278560396,0.0275898922880697,-1.9127146490808504,0.0566883369472589,Bin 424,-1.0000000000000002,0.6540225355819586,1.2465062836197687,0.1844072869811257
adenoma,11.45597003763321,6.09953494390246,5.997037583065279,-0.3431985214175199,23.25513859668394,1.910271509717252,0.057003247122032,Bin 1,0.021046134294718424,0.6540225355819586,1.244100404555326,0.1844072869811257
adenoma,1.6136664933383948,0.4731162917164614,0.8467213690075623,-0.0522573927620317,3.279590379438821,1.905782176289899,0.0575857151136467,Bin 1387,0.8852770576392863,0.6540225355819586,1.2396852356171835,0.1844072869811257
adenoma,15.93643714128271,7.676377247129326,8.386551607409938,-0.564099110889476,32.43697339345489,1.900237175813963,0.0583120051575434,Bin 721,0.20317929842558968,0.6540225355819586,1.2342420243672627,0.1844072869811257
adenoma,-1.025351381353911,1.0455530783008835,0.5401901061614639,-2.088175155300108,0.0374723925922859,-1.898130620421677,0.058589920814817,Bin 2208,-0.9999999999999993,0.6540225355819586,1.2321770889477872,0.1844072869811257
adenoma,-26.110700496477325,19.906877638572904,13.77161572345367,-53.20634780580225,0.9849468128475998,-1.8959794566449928,0.0588748613487953,Bin 1692,-0.25858803628844373,0.6540225355819586,1.2300701026320329,0.1844072869811257
adenoma,30.791443458794173,9.843680604856225,16.29504712237011,-1.2690539136843704,62.85194083127272,1.8896197861571795,0.0597240235630317,Bin 1489,0.7699238306281384,0.6540225355819586,1.223850941865297,0.1844072869811257
adenoma,-0.6233777998601334,0.6446764846886923,0.3330752555094748,-1.278703204807225,0.0319476050869584,-1.871582441351308,0.0621881146560508,Bin 2086,-0.9999999999999989,0.6540225355819586,1.2062926094010629,0.1844072869811257
adenoma,-0.3501148511261005,0.3626881433364949,0.1873846012397897,-0.7187939639004249,0.0185642616482238,-1.8684291495119725,0.06262744904445,Bin 1803,-1.0000000000000058,0.6540225355819586,1.2032352777204,0.1844072869811257
adenoma,-0.2705578553010712,0.2771166127078385,0.1457243739200469,-0.5572704908697006,0.0161547802675581,-1.8566410547731391,0.0642927332832439,Bin 1485,-0.9053329783895739,0.6540225355819586,1.1918381106423452,0.1844072869811257
adenoma,10.822015563525415,3.910622077576651,5.864841251769088,-0.7170567773097503,22.36108790436058,1.845235889421735,0.065938716428377,Bin 263,0.6413032644837141,0.6540225355819586,1.1808595111434064,0.1844072869811257
adenoma,-1.0666787046035808,1.0593772954613645,0.5790819055855815,-2.206022075202931,0.0726646659957692,-1.8420169829429047,0.0664095298416348,Bin 1970,-0.7944392243302059,0.6540225355819586,1.1777695944171778,0.1844072869811257
adenoma,-2.5182364000690605,2.3184727650513897,1.370696110766478,-5.215080338456113,0.1786075383179928,-1.837195261800875,0.0671199814334276,Bin 1879,-0.6751095638197466,0.6540225355819586,1.1731481723128643,0.1844072869811257
adenoma,2.1023948760707083,0.9639320149861366,1.1447407513327437,-0.1498820013547557,4.354671753496172,1.8365685624653727,0.0672127817166644,Bin 2150,0.7459140406080947,0.6540225355819586,1.1725481302025849,0.1844072869811257
adenoma,-14.100971692809471,9.886669080184966,7.810126184972442,-29.46739120369793,1.2654478180789823,-1.805472966613692,0.071952310359133,Bin 309,-0.18752253071984962,0.6540225355819586,1.1429552564860486,0.1844072869811257
adenoma,-1.3643495443201057,1.4635826156870817,0.7561671090184073,-2.852107967464401,0.1234088788241898,-1.804296336151396,0.0721369181813643,Bin 1441,-0.9999999999999999,0.6540225355819586,1.1418424154611972,0.1844072869811257
adenoma,29.79414650607999,13.36899501863343,16.543259687135404,-2.7547089681403563,62.343001980300336,1.8009840303267997,0.0726586972472965,Bin 1839,0.45907718901621175,0.6540225355819586,1.1387123931975336,0.1844072869811257
adenoma,1.3878224046283347,0.4466584827065837,0.772825544266393,-0.1327114818507344,2.908356291107404,1.7957770869824563,0.0734852054149376,Bin 1877,0.8524284393278058,0.6540225355819586,1.1338000874926257,0.1844072869811257
